id_local,palco,local,id_evento
1,,Forum Braga,"1, 32, 49, 85, 101, 106, 121, 129, 174, 177, 180, 181, 183, 184, 200"
2,Palco Braga é Natal,Avenida Central,"2, 3, 4, 8, 10, 11, 14, 15, 17, 18, 22, 23, 25, 29, 30, 33, 35, 42, 47, 50, 51, 54, 56, 57, 60, 61, 65, 66, 67, 71, 73, 77, 81, 83, 84, 90, 92, 96, 99, 104, 105, 108, 110, 114, 119, 125, 134, 139, 141, 146, 150, 153, 154, 155, 158, 162, 167, 168, 169, 170"
3,,Ruas do Centro Histórico,"5, 43, 46, 55, 95, 103, 107, 111, 115, 128, 138, 143, 144, 152, 157, 160"
4,,Avenida Central,"6, 7, 38, 171"
5,Laboratório de Natal,Avenida Central,"9, 12, 13, 16, 19, 20, 24, 28, 31, 48, 59, 63, 70, 75, 80, 89, 109, 112, 116, 122, 131, 147, 149, 159, 166, 193, 194, 195, 196, 197, 198, 199, 207, 208, 209"
6,,Biblioteca Lúcio Craveiro da Silva,"21, 69, 76, 113, 117, 124, 133, 136, 145, 172"
7,,Theatro Circo,"26, 100, 191, 192"
8,,Auditório Biblioteca Lúcio Craveiro da Silva,27
9,Mesa na Praça,Mercado Municipal,"34, 37, 52"
10,,Igreja do Hospital de S. Marcos,36
11,,Quinta Pedagógica de Braga,"39, 58, 62, 68, 74, 79"
12,,Mercado Municipal,"40, 41, 44, 45, 64, 87, 88, 91, 142"
13,,Largo Barão de S. Martinho,"53, 102, 148, 151, 156, 161, 163, 176, 178, 179"
14,,Teatro da Escola Secundária Sá de Miranda,"72, 78, 82"
15,,Sacristia-mor da Sé de Braga,86
16,,Praça Municipal,"93, 94"
17,,Salão Medieval da Reitoria da Universidade do Minho,"97, 140, 173, 175, 182"
18,,Capela da Imaculada,98
19,Ludoteca da Estufa,Parque S. João da Ponte,"118, 120, 123, 127, 132, 135"
20,,Palácio do Raio,"126, 137"
21,,Igreja do Carmo,130
22,,Praça da República,164
23,Mercado de Natal,Avenida Central,"165, 211"
24,,GNERATION,"185, 186, 187, 188"
25,,Museu dos Biscainhos,"189, 190"
26,,Museu Pio XII,"201, 202"
27,,Posto de Turismo,"203, 204"
28,,Zet Gallery,206
29,,Largo do Pópulo,210
30,,SANTA CASA DA MISERICÓRDIA DE BRAGA – ERPI N.ª Sr.ª da Misericórdia,212
31,,CENTRO CULTURAL E SOCIAL DE SANTO ADRIÃO,213
32,,CENTRO SOCIAL DA PARÓQUIA DE NOGUEIRA,214
33,,SANTA CASA DA MISERICÓRDIA DE BRAGA – ERPI NEVARTE GULBENKIAN,215
34,,CENTRO COMUNITÁRIO DE S. MARTINHO DE DUME,216
35,,CENTRO SOCIAL PADRE DAVID DE OLIVEIRA MARTINS,217
36,,ASSOCIAÇÃO DE ASSISTÊNCIA S. VICENTE DE PAULO,218
37,,LAR D. PEDRO V,219
38,,ASSOCIAÇÃO DE SOLIDARIEDADE SOCIAL DE S. TIAGO DE FRAIÃO,220
39,,ASSOCIAÇÃO DE PAIS E AMIGOS DA FREGUESIA DE CUNHA,221
40,,SANTA CASA DA MISERICÓRDIA DE BRAGA – ERPI D. DIOGO DE SOUSA,222
41,,LAR CONDE DE AGROLONGO,223
42,,"ASSOCIAÇÃO DE REFORMADOS, PENSIONISTAS E IDOSOS DO VALE D’ESTE",224
43,,ANIMA UNA – ASSOCIAÇÃO DE APOIO SOCIAL,225
44,,ASILO DE S. JOSÉ,226
45,,Priscos,227
46,,Mosteiro de S. Martinho de Tibães,228
47,,Igreja de Este S. Mamede,"229, 230, 231, 232, 233, 234"
48,,Igreja de Este S. Pedro,"235, 236, 237, 238, 239, 240, 241, 242, 243"
49,,Moinho Este S. Pedro,244
50,,Adro da Igreja Paroquial de Santa Lucrécia de Algeriz,"245, 246, 247"
51,,Sequeira,"248, 249, 250, 251, 252, 253, 254"
